dataset,algorithm,level,alpha,beta,lambda,p@100
CIFAR-10, SSB_VAE,0.1,10.0,10000000.0,0.003906,0.8090285
CIFAR-10, SSB_VAE,0.1,10.0,10000000.0,0.015625,0.819966
CIFAR-10, SSB_VAE,0.1,10000.0,1.0,0.000244,0.373529
CIFAR-10, SSB_VAE,0.1,10000.0,1.0,0.003906,0.3913445
CIFAR-10, SSB_VAE,0.1,10000.0,1.0,0.015625,0.352842
CIFAR-10, SSB_VAE,0.1,10000.0,10000.0,0.000244,0.3545655
CIFAR-10, SSB_VAE,0.1,10000.0,10000.0,0.003906,0.33893950000000006
CIFAR-10, SSB_VAE,0.1,10000.0,10000.0,0.015625,0.365374
CIFAR-10, SSB_VAE,0.1,10000.0,10000000.0,0.000244,0.3638425
CIFAR-10, SSB_VAE,0.1,10000.0,10000000.0,0.003906,0.35575
CIFAR-10, SSB_VAE,0.1,10000.0,10000000.0,0.015625,0.40870799999999996
CIFAR-10, SSB_VAE,0.2,0.001,1.0,0.000244,0.34309199999999995
CIFAR-10, SSB_VAE,0.2,0.001,1.0,0.003906,0.3301845
CIFAR-10, SSB_VAE,0.2,0.001,1.0,0.015625,0.3136025
CIFAR-10, SSB_VAE,0.2,0.001,10000.0,0.000244,0.4074155
CIFAR-10, SSB_VAE,0.2,0.001,10000.0,0.003906,0.4054
CIFAR-10, SSB_VAE,0.2,0.001,10000.0,0.015625,0.3948105
CIFAR-10, SSB_VAE,0.2,0.001,10000000.0,0.000244,0.4187235
CIFAR-10, SSB_VAE,0.2,0.001,10000000.0,0.003906,0.408279
CIFAR-10, SSB_VAE,0.2,0.001,10000000.0,0.015625,0.4129
CIFAR-10, SSB_VAE,0.2,10.0,1.0,0.000244,0.41384450000000006
CIFAR-10, SSB_VAE,0.2,10.0,1.0,0.003906,0.31525000000000003
CIFAR-10, SSB_VAE,0.2,10.0,1.0,0.015625,0.353187
CIFAR-10, SSB_VAE,0.2,10.0,10000.0,0.000244,0.486095
CIFAR-10, SSB_VAE,0.2,10.0,10000.0,0.003906,0.510984
CIFAR-10, SSB_VAE,0.2,10.0,10000.0,0.015625,0.5065845
CIFAR-10, SSB_VAE,0.2,10.0,10000000.0,0.000244,0.8396819999999999
CIFAR-10, SSB_VAE,0.2,10.0,10000000.0,0.003906,0.822179
CIFAR-10, SSB_VAE,0.2,10.0,10000000.0,0.015625,0.8419445
CIFAR-10, SSB_VAE,0.2,10000.0,1.0,0.000244,0.360287
CIFAR-10, SSB_VAE,0.2,10000.0,1.0,0.003906,0.368213
CIFAR-10, SSB_VAE,0.2,10000.0,1.0,0.015625,0.33375
CIFAR-10, SSB_VAE,0.2,10000.0,10000.0,0.000244,0.392421
CIFAR-10, SSB_VAE,0.2,10000.0,10000.0,0.003906,0.420087
CIFAR-10, SSB_VAE,0.2,10000.0,10000.0,0.015625,0.33825
CIFAR-10, SSB_VAE,0.2,10000.0,10000000.0,0.000244,0.483345
CIFAR-10, SSB_VAE,0.2,10000.0,10000000.0,0.003906,0.3980895
CIFAR-10, SSB_VAE,0.2,10000.0,10000000.0,0.015625,0.490884
CIFAR-10, SSB_VAE,0.3,0.001,1.0,0.000244,0.342826
CIFAR-10, SSB_VAE,0.3,0.001,1.0,0.003906,0.33650250000000004
CIFAR-10, SSB_VAE,0.3,0.001,1.0,0.015625,0.32432649999999996
CIFAR-10, SSB_VAE,0.3,0.001,10000.0,0.000244,0.43944249999999996
CIFAR-10, SSB_VAE,0.3,0.001,10000.0,0.003906,0.419092
CIFAR-10, SSB_VAE,0.3,0.001,10000.0,0.015625,0.434047
CIFAR-10, SSB_VAE,0.3,0.001,10000000.0,0.000244,0.41730500000000004
CIFAR-10, SSB_VAE,0.3,0.001,10000000.0,0.003906,0.4098185
CIFAR-10, SSB_VAE,0.3,0.001,10000000.0,0.015625,0.4406765
CIFAR-10, SSB_VAE,0.3,10.0,1.0,0.000244,0.424458
CIFAR-10, SSB_VAE,0.3,10.0,1.0,0.003906,0.367279
CIFAR-10, SSB_VAE,0.3,10.0,1.0,0.015625,0.42039499999999996
CIFAR-10, SSB_VAE,0.3,10.0,10000.0,0.000244,0.580279
CIFAR-10, SSB_VAE,0.3,10.0,10000.0,0.003906,0.5262819999999999
CIFAR-10, SSB_VAE,0.3,10.0,10000.0,0.015625,0.6401760000000001
CIFAR-10, SSB_VAE,0.3,10.0,10000000.0,0.000244,0.8524499999999999
CIFAR-10, SSB_VAE,0.3,10.0,10000000.0,0.003906,0.8396790000000001
CIFAR-10, SSB_VAE,0.3,10.0,10000000.0,0.015625,0.846095
CIFAR-10, SSB_VAE,0.3,10000.0,1.0,0.000244,0.3504895
CIFAR-10, SSB_VAE,0.3,10000.0,1.0,0.003906,0.37003450000000004
CIFAR-10, SSB_VAE,0.3,10000.0,1.0,0.015625,0.30935
CIFAR-10, SSB_VAE,0.3,10000.0,10000.0,0.000244,0.3682075
CIFAR-10, SSB_VAE,0.3,10000.0,10000.0,0.003906,0.410416
CIFAR-10, SSB_VAE,0.3,10000.0,10000.0,0.015625,0.35692900000000005
CIFAR-10, SSB_VAE,0.3,10000.0,10000000.0,0.000244,0.602624
CIFAR-10, SSB_VAE,0.3,10000.0,10000000.0,0.003906,0.5939319999999999
CIFAR-10, SSB_VAE,0.3,10000.0,10000000.0,0.015625,0.540476
CIFAR-10, SSB_VAE,0.4,0.001,1.0,0.000244,0.35103700000000004
CIFAR-10, SSB_VAE,0.4,0.001,1.0,0.003906,0.32603150000000003
CIFAR-10, SSB_VAE,0.4,0.001,1.0,0.015625,0.33737649999999997
CIFAR-10, SSB_VAE,0.4,0.001,10000.0,0.000244,0.4054895
CIFAR-10, SSB_VAE,0.4,0.001,10000.0,0.003906,0.4166105
CIFAR-10, SSB_VAE,0.4,0.001,10000.0,0.015625,0.43498400000000004
CIFAR-10, SSB_VAE,0.4,0.001,10000000.0,0.000244,0.43145750000000005
CIFAR-10, SSB_VAE,0.4,0.001,10000000.0,0.003906,0.41665549999999996
CIFAR-10, SSB_VAE,0.4,0.001,10000000.0,0.015625,0.422479
CIFAR-10, SSB_VAE,0.4,10.0,1.0,0.000244,0.40775799999999995
CIFAR-10, SSB_VAE,0.4,10.0,1.0,0.003906,0.367379
CIFAR-10, SSB_VAE,0.4,10.0,1.0,0.015625,0.418034
CIFAR-10, SSB_VAE,0.4,10.0,10000.0,0.000244,0.6713635
CIFAR-10, SSB_VAE,0.4,10.0,10000.0,0.003906,0.7052499999999999
CIFAR-10, SSB_VAE,0.4,10.0,10000.0,0.015625,0.659145
CIFAR-10, SSB_VAE,0.4,10.0,10000000.0,0.000244,0.8648285
CIFAR-10, SSB_VAE,0.4,10.0,10000000.0,0.003906,0.859442
CIFAR-10, SSB_VAE,0.4,10.0,10000000.0,0.015625,0.8536265000000001
CIFAR-10, SSB_VAE,0.4,10000.0,1.0,0.000244,0.36366050000000005
CIFAR-10, SSB_VAE,0.4,10000.0,1.0,0.003906,0.3297845
CIFAR-10, SSB_VAE,0.4,10000.0,1.0,0.015625,0.35204749999999996
CIFAR-10, SSB_VAE,0.4,10000.0,10000.0,0.000244,0.39706050000000004
